Specimen,Species,Internode distance,Sheath length,Internode ratio,ligule,blade length,Blade width,Panicle length,Panicle Width,Spikelet length,L Glume length,U Glume length,L Lemma length,U Lemma length,L lemma width,U lemma width,Rachilla,Glume length,Internode distance,Sheath length,Internode ratio,ligule,blade length,Blade width,Panicle length,Panicle Width
Taylor et al. 12892,buettneri,7.57,3.84,0.51,2.8,17.33,1.07,9.21,2.18,1.16,1.11,0.86,1.01,1,0.65,0.68,0.09,0.99,75.7,38.4,5.1,28,173.3,10.7,92.1,21.8
Schatz 1654,buettneri,8.52,5.24,0.62,3.5,19.94,1.56,23.89,24.73,1.29,1.11,1.06,1.2,1.17,0.78,0.78,0.12,1.09,85.2,52.4,6.2,35,199.4,15.6,238.9,247.3
Schatz et al. 2336,buettneri,5.9,3.53,0.6,2.7,12.08,1.52,10.6,8.49,1.13,1.04,0.96,1.06,0.98,0.72,0.67,0.15,1.00,59,35.3,6,27,120.8,15.2,106,84.9
Bosser 11544,homonyma,2.42,1.8,0.74,1.3,3.68,0.99,4.4,3.72,1.65,1.51,1.62,1.39,1.53,0.75,0.7,0,1.57,24.2,18,7.4,13,36.8,9.9,44,37.2
Bosser 11915,homonyma,2.76,1.94,0.7,0.7,4.99,0.6,6.92,3.28,1.7,1.68,1.72,1.42,1.4,0.77,0.74,0.13,1.70,27.6,19.4,7,7,49.9,6,69.2,32.8
Bosser 9279,homonyma,2.15,1.8,0.84,0.7,2.8,0.29,3.59,1.49,1.88,1.56,1.65,1.53,1.52,0.82,0.74,0.2,1.61,21.5,18,8.4,7,28,2.9,35.9,14.9
Antilahimena 7710,humbertiana,2.92,2.79,0.96,1.7,7.98,0.7,11.57,7.04,1.94,1.95,2.07,1.83,1.38,0.95,0.89,0.23,2.01,29.2,27.9,9.6,17,79.8,7,115.7,70.4
Bosser 16581,humicola,3.01,2.01,0.67,0,6.88,0.47,3.64,0.54,1.76,1.73,1.75,1.55,1.42,0.93,0.85,0.33,1.74,30.1,20.1,6.7,0,68.8,4.7,36.4,5.4
Rakotonasolo 2523,humicola,2.8,2.12,0.76,0,6.43,0.51,3.52,1.15,1.66,1.45,1.54,1.37,1.29,0.82,0.82,0.31,1.50,28,21.2,7.6,0,64.3,5.1,35.2,11.5
Miller et al. 4443,humicola,3.14,1.83,0.58,0,8.14,0.66,4.13,0.57,1.68,1.45,1.58,1.47,0.88,0.75,0.63,0.51,1.52,31.4,18.3,5.8,0,81.4,6.6,41.3,5.7
Humbert et al. 21911,humicola,2.41,1.79,0.74,0,10.25,0.53,3.99,0.63,1.56,1.25,1.27,1.35,1.21,0.81,0.85,0.29,1.26,24.1,17.9,7.4,0,102.5,5.3,39.9,6.3
Razafimandimbison et al. 1387,muscicola,6.16,4.44,0.72,2,12.57,0.94,15.57,12.65,1.52,1.48,1.41,1.41,1.31,0.92,0.92,0.15,1.45,61.6,44.4,7.2,20,125.7,9.4,155.7,126.5
Razakamalala et al. 6828,muscicola,4.43,3.67,0.83,1.8,12.94,0.88,7.52,0.72,1.3,1.33,1.23,1.25,0.95,0.66,0.51,0.18,1.28,44.3,36.7,8.3,18,129.4,8.8,75.2,7.2
Humbert et al. 30268,muscicola,8.04,4.09,0.51,3.5,13.92,0.86,14.93,9.24,1.95,1.92,1.82,1.72,1.59,1.17,1.09,0.13,1.87,80.4,40.9,5.1,35,139.2,8.6,149.3,92.4
Swenson et al. 1908,muscicola,3.19,3.03,0.95,2.5,7.86,0.53,11.85,6,2.12,1.9,1.75,1.77,1.66,1.32,1.25,0.16,1.83,31.9,30.3,9.5,25,78.6,5.3,118.5,60
Morat 2788,longifolia,4.54,3.72,0.82,0.5,13.12,1.1,15.58,2.56,1.77,1.36,1.51,1.39,1.36,0.77,0.76,0.15,1.44,45.4,37.2,8.2,5,131.2,11,155.8,25.6
Kramer et al. 9410,vaughnii,3.25,1.54,0.47,0.4,3.37,0.61,5,2.62,2.02,1.75,1.92,1.52,1.43,0.85,0.8,0.4,1.84,32.5,15.4,4.7,4,33.7,6.1,50,26.2
Rakotovao et al. 2829,indet.,3.33,2.66,0.8,0,8.04,0.61,5.31,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,26.6,8,0,80.4,6.1,53.1,29.3
